qimd,year,condition,cost,shape1,shape2,scale
1,1,chd_exclusive,2883,41.1234358737302,9569.70154477203,670329.162985399
1,2,chd_exclusive,952,41.1644012985536,7775.88161080568,179675.354578669
1,1,diabetes_exclusive,514,40.9910801231957,38041.8625383771,476655.774540379
1,2,diabetes_exclusive,514,40.9910801231957,38041.8625383771,476655.774540379
1,1,htn_exclusive,117,41.0097322827672,26766.2591606217,76304.6487707331
1,2,htn_exclusive,63,40.970416804349,71193.5657520784,109392.033654883
1,1,stroke_exclusive,8553,646.50068927017,44.821385620614,579.051842345864
1,2,stroke_exclusive,3783,41.3366403097567,4974.74578250073,454848.983139708
2,1,chd_exclusive,3042,41.3889910874618,4421.6330359128,324669.677315195
2,2,chd_exclusive,1005,41.0540588116108,15732.359297555,384819.022233562
2,1,diabetes_exclusive,543,41.1281746434976,23767.4972088824,313555.653026053
2,2,diabetes_exclusive,543,41.1281746434976,23767.4972088824,313555.653026053
2,1,htn_exclusive,123,40.9686015432125,77253.2457242584,231764.001864633
2,2,htn_exclusive,66,40.9583679560437,145292.864333561,233950.271957551
2,1,stroke_exclusive,9024,41.2712329068275,5229.24862411978,1142317.26725291
2,2,stroke_exclusive,3992,41.2607330524823,5402.87438340771,522248.272122251
3,1,chd_exclusive,3088,41.1059748246506,10615.0821478907,796773.292099517
3,2,chd_exclusive,1020,41.0664391047114,14108.5808633363,350143.374197931
3,1,diabetes_exclusive,551,41.0464920239699,16922.583801149,226984.882818554
3,2,diabetes_exclusive,551,41.0464920239699,16922.583801149,226984.882818554
3,1,htn_exclusive,125,40.9619074493793,111406.14585871,339716.028781548
3,2,htn_exclusive,67,40.960129459198,126111.872191803,206132.736170274
3,1,stroke_exclusive,9162,41.4080245353654,4779.28675599963,1056488.32017395
3,2,stroke_exclusive,4053,41.3761634211085,6210.99473170611,607867.309571168
4,1,chd_exclusive,3216,41.1199241817296,9762.97269596999,762923.869482302
4,2,chd_exclusive,1062,41.0422447930608,17674.8688292998,456988.678770131
4,1,diabetes_exclusive,574,40.999648040554,31892.3457542709,446154.525080028
4,2,diabetes_exclusive,574,40.999648040554,31892.3457542709,446154.525080028
4,1,htn_exclusive,130,40.962842807693,104838.650148712,332469.240609307
4,2,htn_exclusive,70,40.9873690449375,41471.290883933,70772.7140875717
4,1,stroke_exclusive,9542,41.3447689908578,4270.74364478295,984688.859723616
4,2,stroke_exclusive,4221,41.3778080341609,7184.05614863654,732236.68882059
5,1,chd_exclusive,3553,41.34080422514,8534.384083469,732878.976784784
5,2,chd_exclusive,1173,40.9879451531136,21749.9286355966,621952.827804766
5,1,diabetes_exclusive,634,41.0064366617646,28261.9700669185,436621.319331451
5,2,diabetes_exclusive,634,41.0064366617646,28261.9700669185,436621.319331451
5,1,htn_exclusive,144,40.9859866026742,42961.601109304,150826.699402464
5,2,htn_exclusive,77,40.9632072404784,102485.375907754,192502.054632576
5,1,stroke_exclusive,10542,753.107188662616,44.4024432888343,606.820855773866
5,2,stroke_exclusive,4663,41.310424368147,5790.8217215876,653063.564545822
