sex,agegroup,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
1,0-4,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,5-9,13,13,13,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,14,14,14,14
1,10-14,11,11,11,12,12,12,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
1,15-19,15,15,14,14,13,13,13,13,14,14,14,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16
1,20-24,25,25,24,24,24,23,23,22,22,21,21,21,21,22,23,23,23,24,24,24,24,24,24,24,24,24
1,25-29,22,22,23,23,23,23,22,21,21,21,21,20,20,19,19,19,19,19,19,20,20,21,21,21,21,22
1,30-34,19,20,20,20,20,21,21,22,22,22,22,21,21,20,20,20,19,19,18,18,18,18,18,19,19,20
1,35-39,15,16,17,17,18,18,18,19,19,19,19,20,20,20,20,20,20,19,19,19,18,18,18,17,17,17
1,40-44,14,14,13,13,13,14,15,15,16,16,16,17,17,17,17,18,18,18,19,19,18,18,18,17,17,17
1,45-49,15,15,15,14,14,14,13,12,12,12,13,13,14,15,15,15,16,16,16,16,16,17,17,17,17,17
1,50-54,15,15,15,14,14,14,14,14,14,13,13,12,12,12,12,12,13,13,14,14,14,15,15,15,15,15
1,55-59,13,14,14,14,14,14,14,14,14,13,13,13,13,13,13,12,12,11,11,11,12,12,13,13,13,14
1,60-64,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,11,11,11,11,11
1,65-69,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11
1,70-74,7,7,8,8,9,9,9,10,9,9,9,9,10,10,10,10,10,11,11,11,11,11,11,11,11,11
1,75-79,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,10
1,80-84,4,4,4,4,5,5,5,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7
1,85-89,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
1,90+,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3
2,0-4,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14
2,5-9,12,12,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
2,10-14,11,11,11,11,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,13,13
2,15-19,15,16,15,15,14,14,14,14,14,15,15,15,16,16,16,16,16,16,16,16,16,16,16,17,17,17
2,20-24,27,26,26,25,25,25,25,24,23,23,23,23,23,24,24,25,25,25,26,26,26,26,26,26,26,26
2,25-29,20,20,21,22,22,22,21,20,20,20,20,20,19,19,18,18,18,18,19,19,20,20,20,21,21,21
2,30-34,17,17,18,18,18,19,19,19,20,20,20,19,19,19,18,18,18,18,17,17,17,17,17,18,18,18
2,35-39,14,14,15,15,16,16,16,17,17,17,17,18,18,19,19,18,18,18,17,17,17,17,17,16,16,16
2,40-44,14,14,14,13,13,13,14,14,15,16,16,16,16,16,16,17,17,17,18,18,18,17,17,17,16,16
2,45-49,16,15,15,15,15,14,14,13,13,13,13,14,14,15,15,15,15,16,16,16,16,16,17,17,17,17
2,50-54,16,16,16,16,16,15,15,15,14,14,14,13,13,13,12,13,13,14,14,15,15,15,15,15,15,16
2,55-59,14,14,15,15,15,16,16,16,15,15,15,15,14,14,14,13,13,13,12,12,12,13,13,14,14,14
2,60-64,12,12,12,13,13,13,14,14,14,15,15,15,15,15,14,14,14,14,13,13,13,12,12,12,12,12
2,65-69,11,11,11,11,11,11,11,11,12,12,12,13,13,13,14,14,14,14,14,14,13,13,13,13,12,12
2,70-74,8,8,8,9,10,10,10,10,10,10,10,10,11,11,11,11,12,12,12,13,13,13,13,13,13,12
2,75-79,8,8,7,7,7,7,7,7,8,8,9,9,9,9,9,9,9,9,10,10,10,10,11,11,11,12
2,80-84,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8,8,8,8
2,85-89,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6
2,90+,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4
